employeeID,clientCompany,clientIndustry,startDate,endDate,jobTitle,payrate,markup,billrate,hours
1776,Corwin LLC,n/a,10/18/2020,10/18/2020,Account Executive,13.03,39,18.11,1.199922832
1253,"Breitenberg, Rogahn and Abbott",Real Estate,4/7/2020,4/7/2020,Research Associate,23.28,34,31.20,1.381912141
1865,Jast Group,n/a,11/18/2020,11/18/2020,Dental Hygienist,10.54,29,13.60,1.452888986
1065,Mann-Kihn,Major Banks,1/24/2020,1/24/2020,Executive Secretary,16.46,36,22.39,1.674137571
1880,Conroy-Beer,Major Chemicals,11/25/2020,11/25/2020,Geologist II,12.29,22,14.99,2.265135914
1826,Tromp-Jaskolski,Food Distributors,11/4/2020,11/4/2020,Social Worker,22.37,25,27.96,3.736208688
1275,"Terry, Turcotte and Bashirian",Military/Government/Technical,4/15/2020,4/16/2020,Assistant Manager,29.04,39,40.37,7.159879564
1315,McClure Inc,Computer peripheral equipment,4/27/2020,4/28/2020,Human Resources Manager,12.27,42,17.42,9.175426939
1500,"McCullough, Lindgren and Wyman",n/a,7/9/2020,7/10/2020,Office Assistant IV,16.58,42,23.54,9.3774479
1092,Reynolds-Stanton,Containers/Packaging,2/3/2020,2/4/2020,Environmental Specialist,27.6,21,33.40,10.08942889
1809,Mueller Group,n/a,10/29/2020,10/30/2020,Research Assistant III,7.59,41,10.70,10.09224816
1268,Zboncak-Davis,Real Estate Investment Trusts,4/13/2020,4/14/2020,Internal Auditor,19.25,22,23.49,11.02557701
1936,Roberts-Hagenes,Real Estate Investment Trusts,12/10/2020,12/11/2020,Quality Control Specialist,11.26,24,13.96,11.20880759
1583,"Predovic, Fritsch and Murphy",Major Pharmaceuticals,8/11/2020,8/12/2020,Senior Quality Engineer,9.41,43,13.46,11.28686056
1362,Mann-Hahn,Major Chemicals,5/14/2020,5/16/2020,Tax Accountant,28.08,37,38.47,14.09704953
1813,Hodkiewicz-Yost,Electric Utilities: Central,10/30/2020,11/1/2020,Pharmacist,24.71,43,35.34,14.77875407
1519,"Gutkowski, Muller and Schamberger",Auto Parts:O.E.M.,7/19/2020,7/21/2020,Product Engineer,8.11,34,10.87,14.99646297
1732,Bauch-Gerlach,Coal Mining,9/30/2020,10/2/2020,VP Accounting,16.9,36,22.98,15.13457689
1665,Pacocha Inc,Specialty Chemicals,9/9/2020,9/11/2020,Dental Hygienist,13.89,30,18.06,16.84689844
1733,"McGlynn, Hettinger and Breitenberg",n/a,9/30/2020,10/2/2020,Automation Specialist III,10.21,32,13.48,17.0461793
1517,Ankunding and Sons,Water Supply,7/18/2020,7/21/2020,Recruiting Manager,9.35,40,13.09,18.9365357
1028,Olson-Kovacek,Major Banks,1/9/2020,1/12/2020,Social Worker,16.2,24,20.09,19.0521627
1379,Kling Inc,Natural Gas Distribution,5/21/2020,5/24/2020,Legal Assistant,8.7,30,11.31,19.5139293
1995,"Welch, Homenick and Rau",Power Generation,12/28/2020,12/31/2020,Occupational Therapist,11.28,23,13.87,19.98596082
